,index,0,1,2,3,4,Answer,Words
0,0.0,The dimensions of fall of potential per unit distance are given by:,(a) [MLT-3 A-1],(b) [ML2T-2A-1],(c) [ML2T-2A-3],(d) [MLT-2A-2],(c) [ML2T-2A-3],zero
1,1.0,Which of the following is blocked by a capacitor ?,(a) A.C.,(b) D.C.,(c) Both A.C. and D.C.,(d) Neither A.C. nor D. C,(b) D.C.,mass
2,2.0,"Two copper spheres of the same radius, one solid and the other hollow, are charged to the same potential. Which will have more charge?",(a) Solid sphere,(b) Hollow sphere,(c) Both will have an equal charge,(d) None of these,(c) Both will have an equal charge,process
3,3.0,The capacitance of a capacitor will decrease if we introduce a slab of:,(a) copper,(b) aluminium,(c) zinc,(d) None of these,(d) None of these,direction
4,4.0,Two capacitors of capacitance 6 µF and 4 µF are put in series across a 120 V battery. What is the potential difference across the 4 µF capacitor ?,(a) 72 V,(b) 60 V,(c) 48 V,(d) zero,(a) 72 V,without
5,5.0,In which of the following forms is the energy stored in a capacitor?,(a) Charge,(b) Potential,(c) Capacitance,(d) Electric field,(d) Electric field,nothing
6,6.0,Two conducting spheres of radii r1 and r2 are equally charged. The ratio of their potential is,(a) (r1/r2)²,(b) (r1r2)²,(c)(r1/r2),(d) (r2/r1),(b) (r1r2)²,neither
7,7.0,Twenty seven drops of mercury are charged simultaneously to the same potential of 10 volts. What will be potential if all the charged drops are made to combine to form one large drop ?,(a) 180 V,(b) 90 V,(c) 120 V,(d) 45 V,(b) 90 V,relative
8,8.0,The P.E. of an electric dipole is maximum when it makes an angle θ with electric field. The value of θ is :,(a) \(\frac{π}{2}\),(b) π,(c) zero,(d) \(\frac{3π}{2}\),(b) π,negative
9,9.0,The amount of work required to increase the distance between -6µC and 4µC from 6 cm to 18 cm will be :,(a) 1.8 J,(b) 2.4 J,(c) 1.8 µJ,(d) 2.4 µJ,(b) 2.4 J,gained
10,10.0,An electron initially at rest is accelerated through a potential difference of one volt. The energy gained by electron is:,(a) 1 J,(b) 1.6 × 10-19 J,(c) 10-19 J,(d) None of these,(b) 1.6 × 10-19 J,lowered
11,11.0,A bird sitting on a high power line:,(a) gets killed instantly,(b) gets a mild shock,(c) gets a fatal shock,(d) is not affected practically,(d) is not affected practically,joule
12,12.0,Choose the SI unit of electric potential energy :,(a) Joule,(b) Coulomb,(c) Netwon per coulomb,(d) Erg,(a) Joule,obtain
13,13.0,"The capacitance of earth, viewed as a spherical conductor of radius 6408 km is:",(a) 1420 µF,(b) 712 µF,(c) 680 µF,(d) 540 µF,(b) 712 µF,charge
14,14.0,"A capacitor is connected to a cell of emf E having some internal resistance r, the potential across the:",(a) cell is < E,(b) cell is E,(b) cell is > E,(d) capacitor is E,(b) cell is E,sitting
15,15.0,"A capacitor is connected across a battery and the plate separation of capacitor is increased without removing the battery, then:",(a) capacitance will increase,(b) charge stored will increase,(c) energy stored will decrease,(d) potential difference will increase,(b) increases,asonegoes
16,16.0,An electric charge of 425 f µC is removed from a fully charged capacitor of capacitance 8.5µF. Its potential will be lowered by:,(a) 75 V,(b) 100 V,(c) 85 V,(d) 50 V,"(a) 8 V, 4 V",fatal
17,17.0,Minimum number of capacitor of 2µF each required to obtain a capacitance of 5µF will be:,(a) 4,(b) 3,(c) 5,(d) 6,(c) \(\frac{(K+1)}{2}\) C,increased
18,18.0,When a dielectric slab is introduced between the plates of a parallel plate capacitor which remains connected to a battery then charge on the plates relative to earlier charge is :,(a) more,(b) less,(c) less or may be more,(d) same,(a) more,remains
19,19.0,The surface density of charge is measure:,(a) Cm-1,(b) Cm-2,(c) Cm-3,(d) JC-1,(d) Electric intensity,introduced
20,20.0,A polythene piece rubbed with wool is found to have a negative charge of 6.4 × 10-9c. How many electrons have been transferred during the process?,(a) 4 × 1012,(b) 4 × 1011,(c) 4 × 1010,(d) None of these,(c) 4 × 1010,one
21,21.0,In the above question:,(a) no electrons are transferred,(b) electrons are transferred from wool to x polythene,(c) electrons are transferred from polythene to wool,(d) nothing can be decided,(b) electrons are transferred from wool to x polythene,high
22,22.0,"In previous question, mass transferred to polythene is:",(a) 3.64 × 1020 kg,(b) 4 × 10-28 kg,(c) 4 × 1010 kg,(d) None of these,(a) 3.64 × 1020 kg,instantly
23,23.0,What is the number of electrons in 100 g water?,(a) 3.35 × 1024,(b) 3.35 × 1025,(c) 6.02 × 1023,(d) None of these,(a) 3.35 × 1024,large
24,24.0,A uniform electric field of 10 NC-1 exists in the vertically downward direction. What is the increase in the electric potential asonegoes up through a height of 300 cm ?,(a) 15 V,(b) 30 V,(c) 45V,(d) None of these,(b) 30 V,required
25,25.0,The electric potential of earth is taken as:,(a) zero,(b) infinity,(c) unity,(d) None of these,(a) zero,charged
27,,,,,,,,exists
28,,,,,,,,initially
29,,,,,,,,polythene
30,,,,,,,,piece
31,,,,,,,,plate
33,,,,,,,,previous
34,,,,,,,,unit
35,,,,,,,,affected
36,,,,,,,,dimension
37,,,,,,,,killed
38,,,,,,,,found
39,,,,,,,,uniform
40,,,,,,,,internal
41,,,,,,,,shock
42,,,,,,,,mercury
44,,,,,,,,water
45,,,,,,,,maximum
46,,,,,,,,equally
47,,,,,,,,aluminium
48,,,,,,,,work
50,,,,,,,,across
51,,,,,,,,netwon
52,,,,,,,,radius
53,,,,,,,,capacitance
54,,,,,,,,decrease
55,,,,,,,,amount
56,,,,,,,,simultaneously
57,,,,,,,,electron
58,,,,,,,,surface
59,,,,,,,,stored
61,,,,,,,,distance
62,,,,,,,,removed
63,,,,,,,,earlier
64,,,,,,,,decided
65,,,,,,,,resistance
66,,,,,,,,intensity
67,,,,,,,,rubbed
68,,,,,,,,difference
69,,,,,,,,taken
70,,,,,,,,get
71,,,,,,,,make
72,,,,,,,,capacitor
73,,,,,,,,viewed
75,,,,,,,,fall
76,,,,,,,,slab
78,,,,,,,,height
81,,,,,,,,practically
82,,,,,,,,erg
83,,,,,,,,separation
84,,,,,,,,dipole
85,,,,,,,,fully
86,,,,,,,,measure
87,,,,,,,,per
88,,,,,,,,downward
89,,,,,,,,equal
90,,,,,,,,infinity
91,,,,,,,,volt
93,,,,,,,,bird
94,,,,,,,,following
95,,,,,,,,copper
96,,,,,,,,drop
97,,,,,,,,rest
98,,,,,,,,accelerated
99,,,,,,,,question
100,,,,,,,,connected
101,,,,,,,,battery
102,,,,,,,,cell
104,,,,,,,,mild
105,,,,,,,,conductor
106,,,,,,,,field
108,,,,,,,,potential
109,,,,,,,,earth
110,,,,,,,,electric
111,,,,,,,,made
112,,,,,,,,seven
113,,,,,,,,energy
114,,,,,,,,form
116,,,,,,,,spherical
117,,,,,,,,increase
118,,,,,,,,combine
119,,,,,,,,parallel
120,,,,,,,,zinc
121,,,,,,,,line
122,,,,,,,,angle
123,,,,,,,,value
124,,,,,,,,put
125,,,,,,,,ratio
126,,,,,,,,power
127,,,,,,,,many
130,,,,,,,,number
131,,,,,,,,emf
132,,,,,,,,given
133,,,,,,,,none
134,,,,,,,,introduce
135,,,,,,,,removing
